# vertices: 18926, # edges: 18924
Number of sequences: 1202.
Loaded sequence batch successfully in 0.000329971s.
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 49, alignment cost:2, forward num cells:61851, reverse num cells: 64931
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
Sequence length: 51, alignment cost:0, forward num cells:19074, reverse num cells: 18925
Sequence length: 45, alignment cost:1, forward num cells:34778, reverse num cells: 30779
Sequence length: 42, alignment cost:1, forward num cells:34901, reverse num cells: 32019
Sequence length: 19, alignment cost:1, forward num cells:34832, reverse num cells: 32721
